Epoch: [0][101/200], lr: 0.00038	Time 0.073 (0.111)	Data 0.000 (0.009)	Loss 0.6949 (0.6947)	Prec@1 37.500 (45.711)	
Epoch: [0][102/200], lr: 0.00038	Time 0.078 (0.110)	Data 0.000 (0.009)	Loss 0.6892 (0.6947)	Prec@1 87.500 (46.117)	
Epoch: [0][103/200], lr: 0.00038	Time 0.078 (0.110)	Data 0.000 (0.008)	Loss 0.6958 (0.6947)	Prec@1 25.000 (45.913)	
Epoch: [0][104/200], lr: 0.00038	Time 0.079 (0.110)	Data 0.000 (0.008)	Loss 0.6953 (0.6947)	Prec@1 25.000 (45.714)	
Epoch: [0][105/200], lr: 0.00038	Time 0.070 (0.109)	Data 0.001 (0.008)	Loss 0.6932 (0.6947)	Prec@1 50.000 (45.755)	
Epoch: [0][106/200], lr: 0.00038	Time 0.086 (0.109)	Data 0.000 (0.008)	Loss 0.6934 (0.6947)	Prec@1 37.500 (45.678)	
Epoch: [0][107/200], lr: 0.00038	Time 0.085 (0.109)	Data 0.000 (0.008)	Loss 0.6924 (0.6947)	Prec@1 87.500 (46.065)	
Epoch: [0][108/200], lr: 0.00038	Time 0.069 (0.109)	Data 0.000 (0.008)	Loss 0.6942 (0.6947)	Prec@1 37.500 (45.986)	
Epoch: [0][109/200], lr: 0.00038	Time 0.071 (0.108)	Data 0.000 (0.008)	Loss 0.6882 (0.6946)	Prec@1 87.500 (46.364)	
Epoch: [0][110/200], lr: 0.00038	Time 0.075 (0.108)	Data 0.000 (0.008)	Loss 0.6881 (0.6945)	Prec@1 75.000 (46.622)	
Epoch: [0][111/200], lr: 0.00038	Time 0.072 (0.108)	Data 0.000 (0.008)	Loss 0.6862 (0.6945)	Prec@1 75.000 (46.875)	
Epoch: [0][112/200], lr: 0.00038	Time 0.080 (0.107)	Data 0.000 (0.008)	Loss 0.7027 (0.6945)	Prec@1 25.000 (46.681)	
Epoch: [0][113/200], lr: 0.00038	Time 0.069 (0.107)	Data 0.000 (0.008)	Loss 0.6989 (0.6946)	Prec@1 37.500 (46.601)	
Epoch: [0][114/200], lr: 0.00038	Time 0.090 (0.107)	Data 0.000 (0.008)	Loss 0.6813 (0.6945)	Prec@1 75.000 (46.848)	
Epoch: [0][115/200], lr: 0.00038	Time 0.073 (0.107)	Data 0.000 (0.008)	Loss 0.6799 (0.6943)	Prec@1 75.000 (47.091)	
Epoch: [0][116/200], lr: 0.00038	Time 0.076 (0.106)	Data 0.000 (0.008)	Loss 0.6936 (0.6943)	Prec@1 50.000 (47.115)	
Epoch: [0][117/200], lr: 0.00038	Time 0.073 (0.106)	Data 0.000 (0.008)	Loss 0.6852 (0.6942)	Prec@1 62.500 (47.246)	
Epoch: [0][118/200], lr: 0.00038	Time 0.073 (0.106)	Data 0.000 (0.007)	Loss 0.6938 (0.6942)	Prec@1 50.000 (47.269)	
Epoch: [0][119/200], lr: 0.00038	Time 0.079 (0.106)	Data 0.000 (0.007)	Loss 0.7141 (0.6944)	Prec@1 25.000 (47.083)	
Epoch: [0][120/200], lr: 0.00038	Time 0.078 (0.105)	Data 0.000 (0.007)	Loss 0.7045 (0.6945)	Prec@1 37.500 (47.004)	
Epoch: [0][121/200], lr: 0.00038	Time 0.125 (0.105)	Data 0.000 (0.007)	Loss 0.6834 (0.6944)	Prec@1 62.500 (47.131)	
Epoch: [0][122/200], lr: 0.00038	Time 0.072 (0.105)	Data 0.000 (0.007)	Loss 0.7050 (0.6945)	Prec@1 37.500 (47.053)	
Epoch: [0][123/200], lr: 0.00038	Time 0.077 (0.105)	Data 0.000 (0.007)	Loss 0.7162 (0.6947)	Prec@1 25.000 (46.875)	
Epoch: [0][124/200], lr: 0.00038	Time 0.074 (0.105)	Data 0.000 (0.007)	Loss 0.7050 (0.6947)	Prec@1 37.500 (46.800)	
Epoch: [0][125/200], lr: 0.00038	Time 0.081 (0.105)	Data 0.000 (0.007)	Loss 0.6728 (0.6946)	Prec@1 75.000 (47.024)	
